ID		manufacturer		product type		digital storage		flash memory installed		diagonal size		battery		supported digital audio standards		estimated battery life
33675376		Samsung		Digital player / radio,		None,		8 GB Integrated,		3 in,		Lithium polymer Rechargeable Player battery,		MPEG 2.5 Audio,,MPEG 2 Audio,,MPEG 1 Audio,,MP3,,WMA,,FLAC,,Ogg Vorbis,,AAC,,AAC-LC,		30 hour(s),		
33662177		Samsung		Digital player / radio,		None,		16 GB Integrated,		3 in,		Lithium polymer Rechargeable Player battery,		MPEG 2.5 Audio,,MPEG 2 Audio,,MPEG 1 Audio,,MP3,,WMA,,FLAC,,Ogg Vorbis,,AAC,,AAC-LC,		30 hour(s),		
33570974		SanDisk		Digital player / radio,		None,				1.5 in,		Rechargeable Player batteryInternal,						
33559262		Seagate Technology																
33559263		Seagate Technology																
33559260		Seagate Technology																
33529086		Yamaha		Digital player,		None,		microSD,				1 x AA type Rechargeable Player batteryInternal,		MP3,,WMA,,PCM,,WAV,				
33550035		Apple		Digital player,		None,		4 GB Integrated,				Lithium polymer Rechargeable Player batteryIntegrated,		MP3,,AIFF,,Apple Lossless,,Audible,,AAC,,WAV,		10 hour(s),		
33550034		Apple		Digital player,		None,		4 GB Integrated,				Lithium polymer Rechargeable Player batteryIntegrated,		MP3,,AIFF,,Apple Lossless,,Audible,,AAC,,WAV,		10 hour(s),		
33770799		Apple		Digital player,		None,		2 GB Integrated,				Lithium polymer Rechargeable Player batteryIntegrated,		MP3,,AIFF,,Apple Lossless,,Audible,,AAC,,WAV,		10 hour(s),		
33770800		Apple		Digital player,		None,		2 GB Integrated,				Lithium polymer Rechargeable Player batteryIntegrated,		MP3,,AIFF,,Apple Lossless,,Audible,,AAC,,WAV,		10 hour(s),		
33770796		Apple		Digital player,		None,		2 GB Integrated,				Lithium polymer Rechargeable Player batteryIntegrated,		MP3,,AIFF,,Apple Lossless,,Audible,,AAC,,WAV,		10 hour(s),		
33770805		Apple		Digital player,		None,		4 GB Integrated,				Lithium polymer Rechargeable Player batteryIntegrated,		MP3,,AIFF,,Apple Lossless,,Audible,,AAC,,WAV,		10 hour(s),		
33770794		Apple		Digital player,		None,		2 GB Integrated,				Lithium polymer Rechargeable Player batteryIntegrated,		MP3,,AIFF,,Apple Lossless,,Audible,,AAC,,WAV,		10 hour(s),		
33770804		Apple		Digital player,		None,		4 GB Integrated,				Lithium polymer Rechargeable Player batteryIntegrated,		MP3,,AIFF,,Apple Lossless,,Audible,,AAC,,WAV,		10 hour(s),		
33770806		Apple		Digital player,		None,		4 GB Integrated,				Lithium polymer Rechargeable Player batteryIntegrated,		MP3,,AIFF,,Apple Lossless,,Audible,,AAC,,WAV,		10 hour(s),		
33770801		Apple		Digital player,		None,		2 GB Integrated,				Lithium polymer Rechargeable Player batteryIntegrated,		MP3,,AIFF,,Apple Lossless,,Audible,,AAC,,WAV,		10 hour(s),		
33770808		Apple		Digital player,		None,		4 GB Integrated,				Lithium polymer Rechargeable Player batteryIntegrated,		MP3,,AIFF,,Apple Lossless,,Audible,,AAC,,WAV,		10 hour(s),		
33537192		Cowon Systems, Inc.																
33537189		Cowon Systems, Inc.																
33537190		Cowon Systems, Inc.																
33396690		Western Digital Corp.																
33450407		Other product lines		Digital player / radio,		2 GB,None,		2 GB Integrated,		1.46 in,		1 x Rechargeable Player batteryInternal,		WAV,,MP3,,ADPCM,,WMA,		27 hour(s),		
33455850		Other product lines		Digital player / radio,		None,		4 GB Integrated,		1.46 in,		1 x Rechargeable Player batteryInternal,		WAV,,MP3,,ADPCM,,WMA,		27 hour(s),		
33450406		Other product lines		Digital player / radio,		8 GB,None,		8 GB Integrated,		1.46 in,		1 x Rechargeable Player batteryInternal,		WAV,,MP3,,ADPCM,,WMA,		27 hour(s),		
33450412		Cowon Systems, Inc.										Rechargeable Battery,Battery Life Details,Battery Life Details,Required Qty,Technology,Battery Enclosure Type,						
33642843		Cowon Systems, Inc.										Rechargeable Battery,Battery Life Details,Battery Life Details,Battery Enclosure Type,Technology,						
33450411		Cowon Systems, Inc.										Rechargeable Battery,Battery Life Details,Battery Life Details,Battery Enclosure Type,Technology,						
33450410		Cowon Systems, Inc.										Rechargeable Battery,Battery Life Details,Battery Life Details,Battery Enclosure Type,Technology,						
33357756		Trevor Baylis Brands PLC		Digital player / radio,				8 GB Integrated,		2 in,		Lithium ion Rechargeable Player batteryInternal,		MP3,,WMA,,Ogg Vorbis,,AAC,,WAV,				
33351302		Cowon Systems, Inc.										Capacity,Rechargeable Battery,Required Qty,Battery Life Details,Battery Life Details,Battery Enclosure Type,Technology,						
33364615		Cowon Systems, Inc.										Rechargeable Battery,Battery Life Details,Battery Life Details,Battery Enclosure Type,Technology,Recharge Time,						
33364602		Cowon Systems, Inc.										Rechargeable Battery,Battery Life Details,Battery Life Details,Battery Enclosure Type,Technology,Recharge Time,						
33364590		Cowon Systems, Inc.										Rechargeable Battery,Battery Life Details,Battery Life Details,Battery Enclosure Type,Technology,Recharge Time,						
33351300		Cowon Systems, Inc.										Capacity,Rechargeable Battery,Required Qty,Battery Life Details,Battery Life Details,Battery Enclosure Type,Technology,						
33351260		C. Crane Company		Flash player,				2 GB,				Lithium polymer,						
33399143		SanDisk		Digital player,		None,						1 x AAA type Standard batteryInternal,		MP3,,WMA,		15 hour(s),		
33342036		SanDisk		Digital player,		None,						AAA alkaline,1 x AAA type Standard batteryInternal,		MP3,,WMA,		15 hour(s),		
33345000		SanDisk		Digital player,		None,						AAA alkaline,1 x AAA type Standard batteryInternal,		MP3,,WMA,		15 hour(s),		
33344999		SanDisk		Digital player,		None,						AAA alkaline,1 x AAA type Standard batteryInternal,		MP3,,WMA,		15 hour(s),		
33345002		SanDisk		Digital player,		None,						AAA alkaline,1 x AAA type Standard batteryInternal,		MP3,,WMA,		15 hour(s),		
33270809		Sony		Digital player / radio,		None,		4 GB Integrated,		2 in,		Lithium ion Rechargeable Player batteryIntegrated,		MP3,,WMA,,AAC,,PCM,		45 hour(s),		
